full_name,a,e,g,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,h,diameter,extent,albedo,rot_per,gm,bv,ub,ir,spec_b,spec_t,neo,pha,moid
 11071 (1992 EU14),3.123041647,0.131881406,,4.009679476,302.3160864,357.8349328,2.711170522,3.534912772,5.51918391,9923.0,0.0,1303.0,13.7,10.073,,0.069,,,,,,,,N,N,1.69482
 11072 Hiraoka (1992 GP),2.387260499,0.113782217,,12.06765275,183.1562469,66.64816268,2.115632707,2.658888291,3.688569071,23521.0,0.0,1931.0,13.4,8.747,,0.093,4.7512,,,,,,,N,N,1.13589
 11073 Cavell (1992 RA4),2.400596478,0.1722898,,1.654051902,332.2680554,272.7919691,1.98699819,2.814194766,3.719520436,14659.0,0.0,1663.0,14.4,3.039,,0.4,,,,,,,,N,N,0.974381
 11074 Kuniwake (1992 SC1),2.519392424,0.2091483,,5.103402284,144.8868841,209.5975688,1.992465781,3.046319066,3.999004849,13252.0,0.0,1887.0,14.1,,,,2.622,,,,,,,N,N,0.9883
 11075 Donhoff (1992 SP26),2.413401464,0.188848181,,4.038286137,83.98557032,276.2639261,1.957634989,2.86916794,3.749320446,11102.0,0.0,1671.0,14.7,7.775,,0.042,,,,,,,,N,N,0.958592
 11076 (1992 UR),2.408632633,0.19526582,,14.83887572,39.01951267,314.1168684,1.938309007,2.878956259,3.738213068,15105.0,0.0,2826.0,13.7,6.746,,0.141,8.504,,,,,,,N,N,0.963674
 11077 (1992 WB2),2.566767067,0.173443729,,1.646386769,334.7355603,6.231892775,2.121577415,3.011956719,4.112329355,15950.0,0.0,1945.0,13.5,6.099,,0.227,8.813,,,,,,,N,N,1.11224
 11078 (1992 WH2),2.980623274,0.095911969,,12.40873697,240.2857236,325.6686979,2.694745827,3.266500722,5.145988778,9661.0,0.0,1645.0,12.3,10.645,,0.205,,,,,,,,N,N,1.69812
 11079 Mitsunori (1993 AJ),2.62529641,0.200857739,,13.92454732,116.7302572,287.0722713,2.097985308,3.152607513,4.253786801,10167.0,0.0,1797.0,12.8,6.904,,0.281,,,,,,,,N,N,1.15559
 11080 (1993 FO),3.032639391,0.181564075,,1.189507375,191.8987849,130.6469465,2.482021024,3.583257757,5.281282025,14416.0,0.0,1378.0,13.6,9.479,,0.078,,,,,,,,N,N,1.46893
 11081 Persave (1993 FA13),2.872139132,0.043491568,,1.967950709,170.1382779,189.9616122,2.747225299,2.997052965,4.86761716,10114.0,0.0,1933.0,13.5,,,,,,,,,,,N,N,1.74229
 11082 Spilliaert (1993 JW),3.227977848,0.060191727,,12.58897482,68.40866323,160.0447219,3.033680287,3.422275408,5.799679852,14681.0,0.0,1594.0,12.6,15.375,,0.07,,,,,,,,N,N,2.02529
 11083 Caracas (1993 RZ6),2.353506939,0.104686533,,4.72500694,354.3040895,65.97176099,2.107126457,2.599887421,3.610617035,11747.0,0.0,1374.0,14.6,3.699,,0.256,,,,,,,,N,N,1.12418
 11084 Gio (1993 SG3),2.323245904,0.124540534,,3.75457496,168.4155037,331.3748185,2.03390762,2.612584188,3.541204215,9263.0,0.0,1153.0,15.3,,,,,,,,,,,N,N,1.04823
 11085 Isala (1993 SS6),2.401213723,0.154456915,,1.41239289,259.3285041,259.5197152,2.03032966,2.772097786,3.720955081,9074.0,0.0,1451.0,14.1,3.823,,0.277,,,,,,,,N,N,1.04037
 11086 Nagatayuji (1993 TC1),2.258798982,0.161009873,,5.47212093,40.16157979,350.5121208,1.895110046,2.622487918,3.394881168,19173.0,0.0,1849.0,13.6,5.911,,0.161,,,,,,,,N,N,0.900313
 11087 Yamasakimakoto (1993 TK1),2.217721548,0.192297479,,3.452198195,28.67749014,327.5421186,1.791259284,2.644183811,3.302696959,25042.0,0.0,1704.0,14.2,,,,4.5369,,,,,,,N,N,0.787346
 11088 (1993 UN),2.164480139,0.158377735,,0.574716989,120.6664974,187.9374682,1.821674678,2.5072856,3.184480618,9222.0,0.0,1497.0,14.8,3.031,,0.211,58.524,,,,,,,N,N,0.806169
 11089 (1994 CS8),5.189235045,0.02142794,,6.932109031,120.1157209,21.72583969,5.078040426,5.300429663,11.82124493,11200.0,0.0,1676.0,10.7,37.047,,0.074,7.72,,,,,,,N,N,4.09264
 11090 Popelin (1994 CT12),2.550969692,0.130629329,,7.651219023,125.6733527,292.8465409,2.217738234,2.88420115,4.074423334,9224.0,0.0,1841.0,13.7,5.106,,0.17,,,,,,,,N,N,1.24331
 11091 Thelonious (1994 DP),2.490364352,0.151870403,,1.161546763,148.7575649,242.1519426,2.112151714,2.868576991,3.930090389,11220.0,0.0,1443.0,14.1,8.205,,0.06,,,,,,,,N,N,1.11725
 11092 Iwakisan (1994 ED),2.735289115,0.044340317,,1.410874427,118.4108917,108.0947823,2.614005528,2.856572702,4.523900642,9013.0,0.0,1381.0,14.4,,,,,,,,,,,N,N,1.60438
 11093 (1994 HD),2.6871462,0.238805074,,27.09612761,195.126159,321.0747607,2.045442053,3.328850347,4.404992222,9045.0,0.0,1336.0,13.4,,,,,,,,,,,N,N,1.09503
 11094 Cuba (1994 PG17),3.066671572,0.197793955,,2.175171503,260.9010023,33.22363243,2.460102474,3.67324067,5.370430533,9003.0,0.0,1410.0,13.4,9.87,,0.081,10.0,,,,,,,N,N,1.44369
 11095 Havana (1994 PJ22),3.184991089,0.124700611,,1.940435079,25.54861749,157.8610578,2.787820755,3.582161423,5.684215502,9842.0,0.0,1417.0,13.4,10.211,,0.081,9.836,,,,,,,N,N,1.79062
 11096 (1994 RU1),3.147884729,0.24374978,,17.02060982,172.1034409,193.513323,2.38058852,3.915180938,5.585170472,15191.0,0.0,1428.0,13.2,12.07,,0.049,,,,,,,,N,N,1.38028
 11097 (1994 UD1),3.272978702,0.245365726,,2.114100596,47.14369602,330.4720993,2.469901908,4.076055497,5.921380528,15421.0,0.0,1317.0,13.7,8.488,,0.089,,,,,,,,N,N,1.47135
 11098 Ginsberg (1995 GC2),2.714233947,0.036392315,,3.895542064,57.50216017,343.6612423,2.615456689,2.813011205,4.471766511,8944.0,0.0,1903.0,13.5,,,,,,,,,,,N,N,1.62291
 11099 Sonodamasaki (1995 HL),2.37757761,0.221812266,,9.98241555,54.08667979,248.6291958,1.850201733,2.904953487,3.666150217,13698.0,0.0,1841.0,13.6,9.536,,0.039,7.248,,,,,,,N,N,0.861872
 11100 Lai (1995 KC),2.42818348,0.171036106,,10.17702296,193.3129724,26.05650638,2.012876432,2.843490527,3.78381986,8453.0,0.0,1145.0,14.6,3.312,,0.167,5.0,,,,,,,N,N,1.01162
 11101 Ceskafilharmonie (1995 SH),2.621878802,0.089820986,,13.51150538,188.6257665,10.06854163,2.386379063,2.857378541,4.245483141,8647.0,0.0,1529.0,13.7,5.367,,0.154,,,,,,,,N,N,1.38654
 11102 Bertorighini (1995 SZ4),2.585035254,0.116973239,,2.730441003,203.0661599,167.0667543,2.282655307,2.887415201,4.156309766,15400.0,0.0,1515.0,14.3,3.842,,0.274,,,,,,,,N,N,1.28144
 11103 Miekerouppe (1995 SX19),2.890334274,0.080137129,,1.904928634,184.2077963,163.3461806,2.658711183,3.121957364,4.913945228,9679.0,0.0,2307.0,13.0,8.561,,0.207,,,,,,,,N,N,1.65094
 11104 Airion (1995 TQ),2.943621025,0.110964551,,11.50214654,241.7167615,108.3442975,2.616983441,3.27025861,5.05046129,10540.0,0.0,1247.0,12.9,7.613,,0.278,20.416,,,,,,,N,N,1.63972
 11105 Puchnarova (1995 UR2),2.710871439,0.265346665,,4.683455245,273.5573241,97.76852502,1.991550744,3.430192134,4.463459363,11889.0,0.0,1288.0,14.3,6.929,,0.077,,,,,,,,N,N,0.997417
 11106 (1995 UK3),2.864426061,0.097820601,,14.34452019,248.2032561,214.5750509,2.584226182,3.14462594,4.8480225,15611.0,0.0,1429.0,12.7,,,,,,,,,,,N,N,1.61285
 11107 Hakkoda (1995 UU4),2.999625712,0.11327241,,9.649058744,230.1444719,134.8988676,2.659850877,3.339400547,5.195278144,10874.0,0.0,1430.0,12.8,8.86,,0.225,5.479,,,,,,,N,N,1.66893
 11108 Hachimantai (1995 UJ6),3.015085234,0.118786876,,9.47149987,239.1235245,108.632802,2.656932677,3.37323779,5.235493116,10874.0,0.0,1363.0,13.3,7.712,,0.171,3.352,,,,,,,N,N,1.66946
 11109 Iwatesan (1995 UG8),2.874947184,0.061731052,,1.102633978,316.3914621,4.382701768,2.69747367,3.052420698,4.874757411,14221.0,0.0,1685.0,13.5,,,,,,,,,,,N,N,1.68365
 11110 (1995 VT1),3.168769987,0.127175375,,8.796365296,242.5199793,148.6860461,2.765780476,3.571759497,5.640846427,14856.0,0.0,1680.0,12.2,12.352,,0.167,,,,,,,,N,N,1.77614
 11111 Repunit (1995 WL),2.945771372,0.098106237,,3.390646434,107.5308313,231.9634944,2.656772829,3.234769915,5.055996424,8692.0,0.0,1839.0,13.5,5.72,,0.236,,,,,,,,N,N,1.64854
 11112 Cagnoli (1995 WM2),2.941749678,0.225155828,,15.2265604,228.4446147,170.2847959,2.279397594,3.604101762,5.045645963,8214.0,0.0,1038.0,13.9,8.849,,0.062,,,,,,,,N,N,1.28863
 11113 (1995 WW3),2.807340972,0.183359217,,15.97637686,286.3116562,107.1137337,2.292589129,3.322092815,4.703822751,8978.0,0.0,1245.0,13.3,7.62,,0.168,,,,,,,,N,N,1.35812
 11114 (1995 WV5),3.087638636,0.04015904,,9.894160879,238.7435588,71.04435027,2.963642034,3.211635239,5.425601623,10801.0,0.0,1046.0,13.7,6.136,,0.205,,,,,,,,N,N,1.96639
 11115 Kariya (1995 WC7),3.095666988,0.148710602,,6.05942779,39.1860759,27.16146586,2.635308488,3.556025488,5.446776514,8568.0,0.0,1054.0,14.0,7.427,,0.073,,,,,,,,N,N,1.65034
 11116 (1996 EK),2.196056,0.227315711,,7.742727871,149.8658799,76.99376785,1.69685797,2.695254031,3.254417887,23299.0,0.0,1995.0,14.2,3.08,,0.426,4.4017,,,,,,,N,N,0.708834
 11117 (1996 LP1),2.193332198,0.182278018,,7.140739618,137.7944808,247.055886,1.793535951,2.593128445,3.248365007,10557.0,0.0,1307.0,15.0,,,,,,,,,,,N,N,0.810035
 11118 Modra (1996 PK),2.313465788,0.082616127,,3.032270122,7.45785044,204.8851773,2.122336205,2.504595372,3.518866774,10283.0,0.0,2158.0,14.3,8.69,,0.054,27.12,,,,,,,N,N,1.1169
 11119 Taro (1996 PS9),2.44190293,0.095426479,,4.130752973,205.4596657,137.8005834,2.208880733,2.674925128,3.815933488,29193.0,0.0,1889.0,13.5,5.554,,0.25,,,,,,,,N,N,1.20239
 11120 Pancaldi (1996 QD1),2.292878303,0.084436896,,3.106502385,238.257166,322.720829,2.099274776,2.48648183,3.471999943,9343.0,0.0,1634.0,14.5,3.093,,0.222,10.78,,,,,,,N,N,1.09712
 11121 Malpighi (1996 RD1),2.205050405,0.149093785,,3.444355956,178.9066363,131.6006014,1.876291093,2.533809717,3.274432063,20979.0,0.0,1010.0,15.3,,,,,,,,,,,N,N,0.863343
 11122 Eliscolombini (1996 RQ2),2.409726589,0.146766787,,1.557323031,313.5127395,241.3292396,2.056058761,2.763394417,3.740760096,10096.0,0.0,1777.0,14.3,3.289,,0.374,,,,,,,,N,N,1.0559
 11123 Aliciaclaire (1996 RT24),2.671685437,0.119292619,,1.653917745,1.976713212,193.8317576,2.352973083,2.990397791,4.367030117,10509.0,0.0,1885.0,13.8,,,,,,,,,,,N,N,1.35197
 11124 Mikulasek (1996 TR9),2.277070984,0.196226936,,4.333645701,135.9407356,188.9676888,1.830248323,2.723893646,3.436157455,17554.0,0.0,1803.0,14.5,,,,,,,,,,,N,N,0.817433
 11125 (1996 TL10),2.256089056,0.182164196,,4.764997074,320.543757,45.16527746,1.845110407,2.667067705,3.388773642,17575.0,0.0,1169.0,14.9,4.52,,0.104,,,,,,,,N,N,0.845755
 11126 Dolecek (1996 TC15),2.698164271,0.142874255,,9.861650171,84.78704989,268.7711547,2.31266606,3.083662482,4.432112575,9089.0,0.0,1297.0,14.1,4.039,,0.298,,,,,,,,N,N,1.33248
 11127 Hagi (1996 UH1),2.228818842,0.159855218,,5.661429105,85.44923756,307.0487236,1.87253052,2.585107164,3.327517576,16647.0,0.0,1636.0,14.1,,,,3.9157,,,,,,,N,N,0.884801
 11128 Ostravia (1996 VP),2.416145191,0.168223737,,2.979697385,51.66705177,198.1133708,2.009692218,2.822598164,3.755716004,11072.0,0.0,1644.0,14.3,4.026,,0.25,,,,,,,,N,N,0.995732
 11129 Hayachine (1996 VS5),2.562404769,0.056156354,,14.02200578,235.5108953,1.975716122,2.418509459,2.706300079,4.10185027,13577.0,0.0,1496.0,13.0,6.189,,0.35,17.6,,,,,,,N,N,1.40668
 11130 (1996 VA30),2.403546477,0.156729978,,12.86239664,216.1470699,162.5693458,2.02683869,2.780254265,3.726378702,13618.0,0.0,1089.0,14.5,4.944,,0.126,,,,,,,,N,N,1.03291
 11131 (1996 VO30),2.264276648,0.19210325,,3.43350678,248.0226822,129.6864595,1.829301745,2.699251552,3.407237711,23332.0,0.0,2028.0,13.9,,,,2.789,,,,,,,N,N,0.832837
